Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
907,BALY,Consumer Cyclical,Resorts & Casinos,NYSE,110.32,79,82,91,31
908,CCBG,Financial Services,Banks—Regional,NASDAQ,110.32,79,80,75,39
909,SEIC,Financial Services,Asset Management,NASDAQ,110.27,79,72,49,50
910,TYG,Financial Services,Asset Management,NYSE,110.23,79,85,82,76
911,CRVL,Financial Services,Insurance Brokers,NASDAQ,110.23,79,86,85,77
912,MLAB,Technology,Scientific & Technical Instruments,NASDAQ,110.2,79,53,85,25
913,CMI,Industrials,Specialty Industrial Machinery,NYSE,110.19,79,83,82,56
914,FLS,Industrials,Specialty Industrial Machinery,NYSE,110.18,79,83,73,72
915,MAC,Real Estate,REIT—Retail,NYSE,110.18,79,87,78,70
916,KYN,Financial Services,Asset Management,NYSE,110.17,79,84,74,78
917,CGNT,Technology,Software—Infrastructure,NASDAQ,110.15,79,64,34,87
918,IBEX,Technology,Software—Application,NASDAQ,110.13,79,68,73,42
919,R,Industrials,Rental & Leasing Services,NYSE,110.12,79,83,78,73
920,EQH,Financial Services,Insurance—Diversified,NYSE,110.11,79,77,74,89
921,NI,Utilities,Utilities—Regulated Gas,NYSE,110.02,79,77,82,63
922,GPOR,Energy,Oil & Gas E&P,NYSE,109.99,79,69,50,76
923,TMUS,Communication Services,Telecom Services,NASDAQ,109.95,79,84,81,79
924,MNSO,Consumer Cyclical,Specialty Retail,NYSE,109.93,79,35,25,28
925,CLM,Financial Services,Asset Management,NYSE MKT,109.92,79,77,57,65
926,CM,Financial Services,Banks—Diversified,NYSE,109.92,79,79,87,72
927,BLK,Financial Services,Asset Management,NYSE,109.92,79,72,81,69
928,OKE,Energy,Oil & Gas Midstream,NYSE,109.92,79,84,81,75
929,XLO,Healthcare,Biotechnology,NASDAQ,109.78,79,80,9,10
930,G,Technology,Information Technology Services,NYSE,109.77,79,77,73,29
931,BY,Financial Services,Banks—Regional,NYSE,109.76,79,81,69,80
932,TRMK,Financial Services,Banks—Regional,NASDAQ,109.76,79,83,68,84
933,ACHL,Healthcare,Biotechnology,NASDAQ,109.75,79,71,74,37
934,GWRE,Technology,Software—Application,NYSE,109.7,79,93,94,92
935,CUZ,Real Estate,REIT—Office,NYSE,109.69,79,80,87,58
936,CTBI,Financial Services,Banks—Regional,NASDAQ,109.67,79,83,72,73
937,ORCL,Technology,Software—Infrastructure,NYSE,109.63,79,88,88,84
938,CXDO,Communication Services,Telecom Services,NASDAQ,109.62,79,80,89,58
939,ALTR,Technology,Softwareâ€”Infrastructure,NASDAQ,109.59,79,73,61,87
940,FBNC,Financial Services,Banks—Regional,NASDAQ,109.58,79,81,83,56
941,JXN,Financial Services,Asset Management,NYSE,109.55,79,90,95,96
942,ICUI,Healthcare,Medical Instruments & Supplies,NASDAQ,109.55,79,83,94,65
943,CFG,Financial Services,Banks—Regional,NYSE,109.55,79,85,82,83
944,FMAO,Financial Services,Banks—Regional,NASDAQ,109.55,79,90,82,70
945,ACVA,Technology,Softwareâ€”Application,NASDAQ,109.5,79,75,67,52
946,HURN,Industrials,Consulting Services,NASDAQ,109.48,79,67,45,47
947,GILD,Healthcare,Drug Manufacturers—General,NASDAQ,109.45,78,75,70,35
948,RELL,Technology,Electronic Components,NASDAQ,109.45,78,74,51,56
949,GATX,Industrials,Rental & Leasing Services,NYSE,109.43,78,76,41,70
950,HSBC,Financial Services,Banks—Diversified,NYSE,109.36,78,64,64,72
951,RDCM,Communication Services,Telecom Services,NASDAQ,109.32,78,74,54,55
952,JPM,Financial Services,Banks—Diversified,NYSE,109.29,78,75,60,83
953,MVIS,Technology,Scientific & Technical Instruments,NASDAQ,109.19,78,9,12,4
954,INBK,Financial Services,Banks—Regional,NASDAQ,109.16,78,85,76,89
955,CODA,Industrials,Aerospace & Defense,NASDAQ,109.16,78,88,73,32
956,MSI,Technology,Communication Equipment,NYSE,109.15,78,79,85,84
957,LXFR,Industrials,Specialty Industrial Machinery,NYSE,109.15,78,81,69,67
958,NGD,Basic Materials,Gold,NYSE MKT,109.12,78,89,97,97
959,EOS,Financial Services,Asset Management,NYSE,109.1,78,67,60,86
960,NEXA,Basic Materials,Other Industrial Metals & Mining,NYSE,109.08,78,64,42,81
961,BCRX,Healthcare,Biotechnology,NASDAQ,109.01,78,53,78,65
962,LIDR,Consumer Cyclical,Auto Parts,NASDAQ,109.01,78,5,6,27
963,HEAR,Technology,Consumer Electronics,NASDAQ,109.01,78,78,78,80
964,ANF,Consumer Cyclical,Apparel Retail,NYSE,109.0,78,66,83,99
965,CPRX,Healthcare,Biotechnology,NASDAQ,108.99,78,75,86,60
966,IOR,Financial Services,Mortgage Finance,NYSE MKT,108.96,78,68,86,91
967,ORRF,Financial Services,Banks—Regional,NASDAQ,108.9,78,83,87,75
968,KGC,Basic Materials,Gold,NYSE,108.89,78,83,93,96
969,DBX,Technology,Software—Infrastructure,NASDAQ,108.88,78,57,42,21
970,ZBRA,Technology,Communication Equipment,NASDAQ,108.86,78,83,84,78
971,CAAS,Consumer Cyclical,Auto Parts,NASDAQ,108.71,78,82,95,31
972,AWI,Industrials,Building Products & Equipment,NYSE,108.7,78,86,87,85
973,LAUR,Consumer Defensive,Education & Training Services,NASDAQ,108.64,78,78,53,62
974,VVI,Industrials,Specialty Business Services,NYSE,108.63,78,78,49,56
975,HBNC,Financial Services,Banks—Regional,NASDAQ,108.62,78,87,79,73
976,ZETA,Technology,Software—Application,NYSE,108.58,78,90,99,97
977,TTWO,Communication Services,Electronic Gaming & Multimedia,NASDAQ,108.53,78,67,31,40
978,INGN,Healthcare,Medical Devices,NASDAQ,108.53,78,64,91,85
979,RVSB,Financial Services,Banks—Regional,NASDAQ,108.5,78,65,35,14
980,SNA,Industrials,Tools & Accessories,NYSE,108.49,78,79,48,31
981,MAIN,Financial Services,Asset Management,NYSE,108.47,78,64,50,79
982,EXTR,Technology,Communication Equipment,NASDAQ,108.47,78,68,35,23
983,RLX,Consumer Defensive,Tobacco,NYSE,108.46,78,45,47,50
984,SERA,Healthcare,Diagnostics & Research,NASDAQ,108.45,78,82,92,84
985,DLR,Real Estate,REIT—Office,NYSE,108.45,78,81,65,82
986,MXL,Technology,Semiconductors,NASDAQ,108.4,78,23,6,37
987,AIT,Industrials,Industrial Distribution,NYSE,108.37,78,89,78,66
988,CRF,Financial Services,Asset Management,NYSE MKT,108.35,78,79,66,69
989,FHI,Financial Services,Asset Management,NYSE,108.35,78,76,58,40
990,TRMB,Technology,Scientific & Technical Instruments,NASDAQ,108.32,78,80,56,42
991,EBC,Financial Services,Banks—Regional,NASDAQ,108.32,78,80,77,73
992,CBSH,Financial Services,Banks—Regional,NASDAQ,108.27,78,79,56,75
993,RCEL,Healthcare,Medical Devices,NASDAQ,108.26,77,73,38,6
994,LAD,Consumer Cyclical,Auto & Truck Dealerships,NYSE,108.25,77,82,58,23
